"%s and greater","%s và lớn hơn"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d các sản phẩm</strong> đã được tìm ra dựa vào các thông tin tìm kiếm sau đây"
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Khung tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"All","Tất cả"
"Applies for ""Like"" search type only.","Chỉ áp dụng cho kiểu tìm kiếm kiểu ""gần giống"" "
"Apply Layered Navigation if Search Results are Less Than","Áp dụng menu phân loại sản phẩm nếu kết quả tìm kiếm ít hơn"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Tự động sinh site map"
"Catalog Advanced Search","Tìm kiếm danh mục nâng cao"
"Catalog Search","Tìm kiếm trong danh mục"
"Catalog Search Index","Chỉ số tìm kiếm theo danh mục"
"Don't see what you're looking for?","Có phải bạn ko tìm thấy thứ đang tìm?"
"Enter ""0"" to enable layered navigation for any number of results.","Nhập ""0"" để hiện thanh phân loại sản phẩm cho bất cứ kết quả trả về nào."
"Go","Đi tiếp"
"Go to Home Page","Đi tới trang chủ"
"Grid","Dạng lưới"
"Home","Trang chủ"
"List","Dạng danh sách"
"Maximum Query Length","Chiều dài tối đa câu truy vấn"
"Maximum Query Words Count","Số lượng từ khóa tối đa cho câu truy vấn"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Minimal Query Length"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","Modify your search"
"No","Không"
"No items were found using the following search criteria.","Không tìm thấy sản phẩm nào."
"Please specify at least one search term.","Mời bạn hãy nhập vào ít nhất một từ khóa tìm kiếm."
"Popular Search Terms","Từ khóa tìm kiếm phổ biến"
"Quick Search Form","Khung tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Liên quan"
"Results","Kết quả"
"Search","Tìm kiếm"
"Search Settings","Thiết lập tìm kiếm"
"Search Terms","Từ khóa tìm kiếm"
"Search Type","Kiểu tìm kiếm"
"Search entire store here...","Tìm kiếm các sản phẩm trên website ở đây..."
"Search results for '%s'","Kết quả tìm kiếm cho '%s'"
"Search results for: '%s'","Kết quả tìm kiếm cho: '%s'"
"Search:","Tìm kiếm:"
"Show Autocomplete Results Count","Show Autocomplete Results Count"
"Specified date is invalid.","Ngày tháng nhập vào không hợp lệ."
"Subscribe to Feed","Đăng kí theo dõi"
"There are no search terms available.","Không có từ khóa tìm kiếm nào tồn tại."
"Yes","Đúng"
"Your search returns no results.","Tìm kiếm của bạn không trả về kết quả nào."
"up to %s","lên tới %s"
